Time,Name/Nickname,Gender,Age,Maximum rating in Dota,Current Dota rating,Number of Hours ingame (atleast approximate),How many games do you play per week on average?,My mood worsens if I don't play Dota 2 for a long time,I spend almost all my free time on Dota 2,I often play more than I need to because I can't stop (register a new game),"When I play Dota, I'm completely focused on it (I don't play ""for fun"")",Every week/month I spend more time in Dota than before,"I often regist the next game despite discomfort (I can play hungry, sleepy, not feeling well, etc.)",I don't tell family/friends about the number of hours I spend in Dota,Dota lets me forget about stress and life problems irl,"Due to the number of hours spent in the game, I study / work / perform other tasks worse",Every game in DotA I play to win.,"I often play DotA pho fan - I'm interested in the process of the game itself (I try different builds, new heroes, bundles, etc.)","If my teammates frankly ruin the game, I can ruin them in response",I can pour out of the game / get into the amulet if something goes wrong,I have a specific goal - to upgrade the birds (for example: get 6k mmr or a medal of the lord / devine / titan),I play dota to win,"In DotA, too much depends not on me and my game","If I lose, then this is most often due to the bad game of teammates","If I had a strong team in every game, I would almost never lose",My possible pts is much bigger than my actual one,I have been sitting on the same rating for a long time without any visible progress,I often lose my desire to play when my teammates play badly,"MMR is just a number, it does not show the player's real skill","Write down the three heroes that you have played the most games on, the number and win rate on these heroes (for example: Pudge, 152 games, 56%):"
2021/11/07 5:29:50 PM GMT+3,???????,?,26,5300,4800,5000,,4,3,1,4,1,1,1,2,1,1,5,1,1,3,1,3,1,3,4,,4,4,"?????? - 774 (56%)
Pudge - 146 (45%)
Spirit Breaker - 97 (48%)"
2021/11/08 1:10:08 PM GMT+3,???????,?,21,980,960,2808,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,1,4,2,3,1,1,1,4,3,3,2,1,2,2,2,3,5,1,3,5,"????,104 ????,63%.????,101????,51%.??,75 ???,69%"
2021/11/08 1:10:26 PM GMT+3,Rurik/xser0r1k,?,16,??????????,??????????,200,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,4,3,4,5,2,5,4,3,3,4,1,2,4,5,3,2,3,3,4,4,"Dazzle 16 62%
Lina 11 27%
Silencer11 36%"
2021/11/08 1:11:03 PM GMT+3,??? ???? ??? ? ?????,?,19,2370,2130,4500,20-30 ??? (?????? ???? ?? ????????? ???),3,4,5,4,1,5,1,5,3,5,5,1,1,5,5,5,2,5,3,3,5,5,"????? 116 ???, 51.72% ????? 135 ??? 50.37% ?????? 99 ??? 55.56%"
2021/11/08 1:11:32 PM GMT+3,Traxacum,?,15,2700,2400,700,20-30 ??? (?????? ???? ?? ????????? ???),1,3,3,3,2,1,1,1,2,3,3,1,4,5,5,2,2,5,5,2,2,3,"???,29 ???,75%;????,60 ???,63%"
2021/11/08 1:11:36 PM GMT+3,Douglas(? ???? Team_Spirit enjoyer),?,17,4360,4320,2600,20-30 ??? (?????? ???? ?? ????????? ???),4,4,5,5,3,3,5,5,5,5,1,2,1,5,5,2,3,4,3,2,4,1,"??????(300 ??? ??????? 60 ?????????), ???(214 ??? 59 ????????? ????????), ????????(100 ??? 54 ???????? ????????) "
2021/11/08 1:12:00 PM GMT+3,??????,?,22,3000,2100,3700,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,3,4,2,4,1,4,4,4,2,2,1,4,4,3,2,5,4,4,3,2,"???????? 99 57%
?? 97 45%
??????? 95 48%
"
2021/11/08 1:12:15 PM GMT+3,sixRAT-nineCAT,?,21,5600,4800,>5000,1-5 ??? (?? ???????? ????? ???? ?????),4,3,4,5,3,5,5,4,2,4,2,3,1,4,4,2,4,4,4,2,4,3,IO 194 ???; 55.7% ????????? 175 ??? 58.9%; ?????????? 170 ??? 55.9%
2021/11/08 1:12:28 PM GMT+3,??????(?????),?,15,1130,1070,900,?????? 30 ??? (?? ????? ???????? ?????? ????),1,3,2,5,1,1,1,4,1,5,1,1,2,5,4,5,3,5,5,1,5,3,"??????,153 ????,64.7%|????,94 ????,59,6%|??????,67 ????,67,2%|"
2021/11/08 1:13:01 PM GMT+3,putata munyanyo,?,21,3500,2900,5000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,3,3,2,1,4,1,2,1,3,4,1,1,1,1,4,3,2,3,4,3,5,"?????? 182 60.44%
???? 180 52.78%
???? 179 59.78%"
2021/11/08 1:13:21 PM GMT+3,Wartanum,?,27,2700,2500,6000,6-10 ??? (???? ???? ? ?????? ?????????-????),4,3,4,3,3,4,5,5,2,4,4,3,1,2,2,5,4,5,5,5,5,5,"???????, 147 ???, 57%
??????, 130 ???, 62%
?? 126 ???, 53%"
